seed,variant,session,recall10,recall100
4,hashenc,56,0.27900,0.32030
4,hashenc,57,0.27900,0.32030
4,hashenc,58,0.27900,0.32030
4,hashenc,59,0.27900,0.32030
5,baseline,0,0.29650,0.36485
5,baseline,1,0.29450,0.36590
5,baseline,2,0.29750,0.36690
5,baseline,3,0.30000,0.36720
5,baseline,4,0.29650,0.36385
5,baseline,5,0.29350,0.36175
5,baseline,6,0.28950,0.36380
5,baseline,7,0.28850,0.35630
5,baseline,8,0.29300,0.36375
5,baseline,9,0.29000,0.36615
5,baseline,10,0.29000,0.36725
5,baseline,11,0.28750,0.36520
5,baseline,12,0.28650,0.36020
5,baseline,13,0.28500,0.36295
5,baseline,14,0.28600,0.36530
5,baseline,15,0.28900,0.36675
5,baseline,16,0.29350,0.36600
5,baseline,17,0.29200,0.36625
5,baseline,18,0.29500,0.36520
5,baseline,19,0.29400,0.36450
5,baseline,20,0.29450,0.36440
5,baseline,21,0.29400,0.36495
5,baseline,22,0.29350,0.36450
5,baseline,23,0.29350,0.36410
5,baseline,24,0.29400,0.36485
5,baseline,25,0.29350,0.36490
5,baseline,26,0.29200,0.36405
5,baseline,27,0.29500,0.36495
5,baseline,28,0.29300,0.36540
5,baseline,29,0.29150,0.36630
5,baseline,30,0.29150,0.36580
5,baseline,31,0.29300,0.36620
5,baseline,32,0.29150,0.36570
5,baseline,33,0.29200,0.36660
5,baseline,34,0.29200,0.36595
5,baseline,35,0.29050,0.36630
5,baseline,36,0.29150,0.36570
5,baseline,37,0.29200,0.36510
5,baseline,38,0.29250,0.36570
5,baseline,39,0.29500,0.36480
5,baseline,40,0.29500,0.36470
5,baseline,41,0.29500,0.36520
5,baseline,42,0.29450,0.36510
5,baseline,43,0.29600,0.36450
5,baseline,44,0.29400,0.36515
5,baseline,45,0.29300,0.36405
5,baseline,46,0.29250,0.36470
5,baseline,47,0.29450,0.36485
5,baseline,48,0.29350,0.36445
5,baseline,49,0.29300,0.36440
5,baseline,50,0.29500,0.36455
5,baseline,51,0.29450,0.36530
5,baseline,52,0.29600,0.36515
5,baseline,53,0.29550,0.36490
5,baseline,54,0.29350,0.36520
5,baseline,55,0.29550,0.36510
5,baseline,56,0.29550,0.36485
5,baseline,57,0.29650,0.36470
5,baseline,58,0.29350,0.36525
5,baseline,59,0.29200,0.36540
5,hashenc,0,0.29650,0.36485
5,hashenc,1,0.29650,0.36485
5,hashenc,2,0.29650,0.36485
5,hashenc,3,0.29650,0.36485
5,hashenc,4,0.29650,0.36485
5,hashenc,5,0.29650,0.36485
5,hashenc,6,0.29650,0.36485
5,hashenc,7,0.29650,0.36485
5,hashenc,8,0.29650,0.36485
5,hashenc,9,0.29650,0.36485
5,hashenc,10,0.29650,0.36485
5,hashenc,11,0.29650,0.36485
5,hashenc,12,0.29650,0.36485
5,hashenc,13,0.29650,0.36485
5,hashenc,14,0.29650,0.36485
5,hashenc,15,0.29650,0.36485
5,hashenc,16,0.29650,0.36485
5,hashenc,17,0.29650,0.36485
5,hashenc,18,0.29650,0.36485
5,hashenc,19,0.29650,0.36485
5,hashenc,20,0.29650,0.36485
5,hashenc,21,0.29650,0.36485
5,hashenc,22,0.29650,0.36485
5,hashenc,23,0.29650,0.36485
5,hashenc,24,0.29650,0.36485
5,hashenc,25,0.29650,0.36485
5,hashenc,26,0.29650,0.36485
5,hashenc,27,0.29650,0.36485
5,hashenc,28,0.29650,0.36485
5,hashenc,29,0.29650,0.36485
5,hashenc,30,0.29650,0.36485
5,hashenc,31,0.29650,0.36485
5,hashenc,32,0.29650,0.36485
5,hashenc,33,0.29650,0.36485
5,hashenc,34,0.29650,0.36485
5,hashenc,35,0.29650,0.36485
5,hashenc,36,0.29650,0.36485
5,hashenc,37,0.29650,0.36485
5,hashenc,38,0.29650,0.36485
5,hashenc,39,0.29650,0.36485
5,hashenc,40,0.29650,0.36485
5,hashenc,41,0.29650,0.36485
5,hashenc,42,0.29650,0.36485
5,hashenc,43,0.29650,0.36485
5,hashenc,44,0.29650,0.36485
5,hashenc,45,0.29650,0.36485
5,hashenc,46,0.29650,0.36485
5,hashenc,47,0.29650,0.36485
5,hashenc,48,0.29650,0.36485
5,hashenc,49,0.29650,0.36485
5,hashenc,50,0.29650,0.36485
5,hashenc,51,0.29650,0.36485
5,hashenc,52,0.29650,0.36485
5,hashenc,53,0.29650,0.36485
5,hashenc,54,0.29650,0.36485
5,hashenc,55,0.29650,0.36485
5,hashenc,56,0.29650,0.36485
5,hashenc,57,0.29650,0.36485
5,hashenc,58,0.29650,0.36485
5,hashenc,59,0.29650,0.36485
